EV (AVG)	EV (365)	Game	Player	IN	FD	AVG	bet365	DK	MGM	CZ	Kambi
17.7		MIA @ LAD	Dane Myers		'+1300		'+750/-1200				'700/-1667
8.5		MIA @ LAD	Connor Norby		'+850		'+575/-850				'540/-910
3.2		MIA @ LAD	Xavier Edwards		'+3200		'+1500/-3500				
2.4		MIA @ LAD	Max Muncy		'+700		'+525/-750				'475/-770
0.6		LAA @ SEA	Cal Raleigh		'+550						'295/-400
-5.1		MIA @ LAD	Eric Wagaman		'+800		'+625/-950				'575/-1000
-7.8		MIA @ LAD	Shohei Ohtani				'+270/-340				'230/-305
-10.5		MIA @ LAD	Michael Conforto		'+900		'+750/-1200				'510/-835
-12.8		MIA @ LAD	Freddie Freeman		'+550		'+525/-750				'375/-590
-13.6		MIA @ LAD	Agustin Ramirez		'+700		'+625/-950				'510/-835
-15.5		KC @ TB	Christopher Morel								
-17.2		MIA @ LAD	Jesus Sanchez		'+600		'+575/-850				'510/-835
-17.6		MIA @ LAD	Mookie Betts		'+750		'+700/-1100				'500/-835
-17.9		MIA @ LAD	Teoscar Hernandez		'+650		'+625/-950				'475/-770
-18.0		LAA @ SEA	Randy Arozarena		'+1100						'510/-835
-19.9		MIA @ LAD	Andy Pages		'+750		'+700/-1100				'650/-1250
-20.9		MIN @ CLE	Kyle Manzardo		'+900						'500/-770
-22.0		LAA @ SEA	Julio Rodriguez		'+850						'500/-770
-22.6		MIN @ CLE	Byron Buxton		'+700						'475/-715
-23.5		MIN @ CLE	Jose Ramirez		'+850						'510/-770
-24.2		MIA @ LAD	Will Smith		'+750		'+750/-1200				'600/-1115
-24.5		BOS @ TOR	Anthony Santander								
-24.5		KC @ TB	Yandy Diaz								
-24.5		KC @ TB	Danny Jansen								
-25.8		MIA @ LAD	Tommy Edman		'+1200		'+1000/-2000				'800/-2000
-26.1		KC @ TB	Junior Caminero								
-26.6		LAA @ SEA	Jo Adell		'+900						'540/-835
-27.6		SF @ SD	Matt Chapman		'+750						'525/-835
-27.6		SF @ SD	Fernando Tatis		'+750						'525/-835
-30.5		MIN @ CLE	Carlos Santana		'+1300						'600/-1000
-30.8		BOS @ TOR	Vladimir Guerrero								
-32.4		LAA @ SEA	Jorge Polanco								'525/-835
-32.6		MIA @ LAD	Ronny Simon		'+700		'+1000/-2000				'1050/-3335
-33.4		LAA @ SEA	Mike Trout								'540/-835
-33.4		ATL @ COL	Matt Olson								'540/-835
-34.0		BOS @ TOR	George Springer								
-34.0		KC @ TB	Jonathan Aranda								
-37.2		MIA @ LAD	Otto Lopez				'+1000/-2000				'950/-2500
-37.3		SF @ SD	Willy Adames								'600/-1000
-37.3		BOS @ TOR	Addison Barger								
-38.3		LAA @ SEA	Rowdy Tellez		'+1300						'650/-1115
-39.1		MIA @ LAD	Javier Sanoja		'+900		'+1400/-3000				'1300/-10000
-39.7		SF @ SD	Heliot Ramos		'+850						'650/-1115
-40.7		LAA @ SEA	Jorge Soler								'650/-1115
-44.1		BOS @ TOR	Bo Bichette								
-44.1		KC @ TB	Curtis Mead								
-44.1		KC @ TB	Jose Caballero								
-44.1		ATH @ TEX	Jake Burger								'700/-1250
-47.6		ATH @ TEX	Adolis Garcia								'750/-1430
-50.5		MIN @ CLE	Jhonkensy Noel		'+1200						'750/-1430
-51.2		LAA @ SEA	Logan Ohoppe								'800/-1667
-51.2		BOS @ TOR	Alan Roden								
-51.2		KC @ TB	Kameron Misner								
-53.1		MIN @ CLE	Carlos Correa		'+1500						'750/-1430
-53.3		MIN @ CLE	Trevor Larnach		'+1000						'800/-1667
-54.9		LAA @ SEA	Taylor Ward								'850/-1667
-54.9		ATL @ COL	Hunter Goodman								'850/-1667
-54.9		ATL @ COL	Sean Murphy								'850/-1667
-57.1		LAA @ SEA	Zach Neto		'+1000						'850/-2000
-58.7		BOS @ TOR	Alejandro Kirk								
-58.7		BOS @ TOR	Andres Gimenez								
-58.7		ATH @ TEX	Wyatt Langford								'900/-2000
-58.7		DET @ HOU	Yordan Alvarez								'900/-2000
-62.6		MIN @ CLE	Ty France								'950/-2500
-62.6		ATL @ COL	Marcell Ozuna								'950/-2500
-64.5		SF @ SD	Mike Yastrzemski		'+1200						'900/-2000
-66.6		ATH @ TEX	Shea Langeliers								'1000/-2500
-66.6		ATL @ COL	Michael Harris								'1000/-2500
-66.7		SF @ SD	Tyler Fitzgerald		'+1300						'900/-2000
-70.8		ATH @ TEX	Kyle Higashioka								'1050/-2500
-70.8		ATH @ TEX	Jonah Heim								'1050/-2500
-70.8		ATL @ COL	Ozzie Albies								'1050/-2500
-73.6		SF @ SD	Manny Machado		'+1400						'950/-2000
-73.6		LAA @ SEA	Kyren Paris		'+1400						'950/-2000
-75.1		KC @ TB	Taylor Walls								
-75.1		ATH @ TEX	Tyler Soderstrom								'1100/-3335
-79.7		ATL @ COL	Ryan Mcmahon								'1150/-3335
-79.7		ATL @ COL	Austin Riley								'1150/-3335
-82.6		SF @ SD	Wilmer Flores		'+1700						'950/-2500
-84.5		LAA @ SEA	Leo Rivas		'+1200						
-84.5		ATL @ COL	Jordan Beck								'1200/-5000
-88.8		SF @ SD	Patrick Bailey		'+1700						'1000/-2500
-89.1		SF @ SD	Lamonte Wade		'+1300						'1200/-5000
-90.8		MIN @ CLE	Gabriel Arias		'+1500						'1100/-3335
-95.6		LAA @ SEA	Luis Rengifo		'+1300						'1300/-5000
-95.6		DET @ HOU	Christian Walker								'1300/-5000
-95.6		ATL @ COL	Mickey Moniak								'1300/-5000
